"target","n","k","RMSPE","CRPS","coverage_95","mean_interval_width","mean_error","MAE","bias","cor","slope","model","diagnostics_passed","rep_id","eff_range","prior_scale"
"latent",49,5,23.3272280198173,13.9266565391613,0.755102040816326,58.2284672620654,-0.37799227382214,18.6494551066428,-0.37799227382214,0.981219646292113,1.04348400301959,"spatial",TRUE,2,350,500
"observed",49,5,27.3912136667912,15.4833694612255,0.918367346938776,104.49600802098,0.153116549552969,21.2063671010064,0.153116549552969,0.972146692001625,1.0178600016877,"spatial",TRUE,2,350,500
"latent",49,5,23.309074076934,15.954013847603,0.387755102040816,22.5670519197617,-0.361745225438382,18.7229184258744,-0.361745225438382,0.981217534467834,1.04261077251523,"nonspatial",TRUE,2,350,500
"observed",49,5,27.2568266344246,15.4278050518684,0.918367346938776,104.21878394092,0.0536727991317775,21.0502153990943,0.0536727991317775,0.972432523368846,1.01837185306059,"nonspatial",TRUE,2,350,500
"latent",49,5,24.7202082536835,14.6149921553644,0.857142857142857,76.4582637892505,-1.16575911239639,20.2306044186283,-1.16575911239639,0.978108495648108,0.99702879584821,"spatial",TRUE,3,350,500
"observed",49,5,31.1990263308255,17.9959645884783,0.938775510204082,123.583432551673,0.132774105773938,26.3309282047419,0.132774105773938,0.965253073759704,0.989236101246782,"spatial",TRUE,3,350,500
"latent",49,5,25.3899976066214,17.5836915489443,0.306122448979592,26.659117878589,-1.52519787727266,20.7829395060568,-1.52519787727266,0.976938238917485,0.993891123846593,"nonspatial",TRUE,3,350,500
"observed",49,5,31.531029050026,18.1685151715057,0.938775510204082,125.490686700166,-0.329836233318581,26.4554556954283,-0.329836233318581,0.964524476511671,0.987002463628849,"nonspatial",TRUE,3,350,500
"latent",49,5,22.0488362201143,12.7708475719891,0.938775510204082,83.8696320045293,0.871917102147133,17.4039541532684,0.871917102147133,0.983731532373774,1.0409152250997,"spatial",TRUE,4,350,500
"observed",49,5,27.7562462074585,15.7538674250838,0.938775510204082,115.953645628951,0.457462629472708,22.0171697051844,0.457462629472708,0.972099011667199,1.01345272310733,"spatial",TRUE,4,350,500
"latent",49,5,26.1371772016253,18.2030571874567,0.36734693877551,27.6721804036501,0.624880226151966,21.2343651329644,0.624880226151966,0.976797054861066,1.04312148791479,"nonspatial",TRUE,4,350,500
"observed",49,5,33.0787021513818,19.0835345991315,0.938775510204082,128.801859524334,0.218532298385539,27.3938801712352,0.218532298385539,0.960044879625645,1.00995765299936,"nonspatial",TRUE,4,350,500
"latent",49,5,23.5530738796891,13.997518732111,0.816326530612245,61.658660302987,-0.360482644147067,18.6011735837016,-0.360482644147067,0.984008744720091,0.980810658754082,"spatial",TRUE,5,350,500
"observed",49,5,27.4650744922487,15.718389404631,0.938775510204082,109.517075159502,-0.0460472949791721,21.8157841120867,-0.0460472949791721,0.979013642147177,1.00018816106354,"spatial",TRUE,5,350,500
"latent",49,5,23.4581807007263,15.9354597826555,0.36734693877551,23.5294739614499,-0.205655836006316,18.3348974629319,-0.205655836006316,0.98409472944265,0.983083382991292,"nonspatial",TRUE,5,350,500
"observed",49,5,26.8940126685704,15.3684789691183,0.918367346938776,108.516747865622,0.109710124249372,21.1712114846697,0.109710124249372,0.979892244259428,1.00346259907797,"nonspatial",TRUE,5,350,500
