"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
5,"lp",1.00264140372539,1369.99978057724,1566.02357989379,TRUE,"spatial",10000,5001,10,2000,4,0,500
1,"tau_B_sq",1.00109266478471,3900.96303111773,4040.81476912379,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
1,"lp",1.00137074261986,2612.92885046244,2661.92000944644,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
2,"tau_B_sq",1.00125897160682,4017.68185112684,3769.03523913699,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
2,"lp",1.00144829363819,2813.24077983994,2680.41875403366,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
3,"tau_B_sq",1.00192418703912,3822.62139695723,3768.24506902236,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
3,"lp",1.00160705920101,2529.33661553948,2995.75693378069,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
4,"tau_B_sq",1.00090886795874,3529.05595319925,3727.49751012733,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
4,"lp",1.00083665874004,2442.75238501106,2305.25320127507,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
5,"tau_B_sq",1.00161565506083,4279.01515924008,4480.86465140486,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
5,"lp",1.00137392614424,2818.85441117313,3305.67580912864,TRUE,"nonspatial",10000,5001,10,2000,4,0,500
1,"tau_B_sq",1.00203785059494,1618.45135803402,1810.17899619839,TRUE,"spatial",10000,5001,10,2000,5,0,500
1,"sigma_sq",1.00180519692127,1681.10684103624,2076.37520907815,TRUE,"spatial",10000,5001,10,2000,5,0,500
1,"eff_range",1.00349390546078,1688.06465190362,2213.67727820361,TRUE,"spatial",10000,5001,10,2000,5,0,500
1,"lp",1.00082471771665,1168.21194096474,1287.18202679213,TRUE,"spatial",10000,5001,10,2000,5,0,500
2,"tau_B_sq",1.00322523049265,1592.54552368543,1873.55727386239,TRUE,"spatial",10000,5001,10,2000,5,0,500
2,"sigma_sq",1.00099447741065,1927.61515512193,2414.26203426688,TRUE,"spatial",10000,5001,10,2000,5,0,500
2,"eff_range",1.0029317329071,1606.43559396077,1732.69572358343,TRUE,"spatial",10000,5001,10,2000,5,0,500
2,"lp",1.00273989406418,1480.59239473413,1793.26044786809,TRUE,"spatial",10000,5001,10,2000,5,0,500
3,"tau_B_sq",1.00277439869838,1527.89605017494,1997.48677935652,TRUE,"spatial",10000,5001,10,2000,5,0,500
3,"sigma_sq",1.000858303525,1686.96432677938,2233.43315500171,TRUE,"spatial",10000,5001,10,2000,5,0,500
3,"eff_range",1.00239505141501,1658.8852815537,2179.07281719434,TRUE,"spatial",10000,5001,10,2000,5,0,500
