"model","attempt","iterations","max_rhat","min_ess_bulk","min_ess_tail","passed","elapsed_seconds","rep_id","eff_range","prior_scale"
"spatial",1,10000,1.00688876033943,528.484087636574,307.255112683744,FALSE,274.143,1,350,250
"spatial",2,20000,1.00481118026251,1538.06745367878,852.843727319699,TRUE,492.95,1,350,250
"nonspatial",1,10000,1.00154096294593,2764.52507266176,2785.32175419019,TRUE,6.22199999999998,1,350,250
"spatial",1,10000,1.00897366224322,722.89923339015,450.399776946888,TRUE,275.206,2,350,250
"nonspatial",1,10000,1.00236977364746,2813.65679924272,2511.48121830122,TRUE,6.69200000000001,2,350,250
"spatial",1,10000,1.01068711361391,493.874269481663,280.17506845765,FALSE,275.392,3,350,250
"spatial",2,20000,1.00588620133698,784.010190595677,608.257292656366,TRUE,493.545,3,350,250
"nonspatial",1,10000,1.0024747971952,2772.56001560328,2451.9471986777,TRUE,6.14499999999998,3,350,250
"spatial",1,10000,1.01209706068521,493.683183519429,315.576487604536,FALSE,274.929,4,350,250
"spatial",2,20000,1.01068695091452,925.543747782362,433.847930041878,FALSE,493.262,4,350,250
"spatial",3,40000,1.00511139375053,1839.67262163264,1090.0567239056,TRUE,927.481,4,350,250
"nonspatial",1,10000,1.00211371130499,2733.28828747624,2505.9360377368,TRUE,5.95899999999983,4,350,250
"spatial",1,10000,1.00909732478422,491.125572755143,272.745964562298,FALSE,275.044,5,350,250
"spatial",2,20000,1.0031207881545,1542.78744555698,860.496410902943,TRUE,493.295,5,350,250
"nonspatial",1,10000,1.00148098169434,2758.39209276643,2828.05803851296,TRUE,6.41499999999996,5,350,250
"spatial",1,10000,1.00855629438765,677.88685385759,372.117245202562,FALSE,274.937,6,350,250
"spatial",2,20000,1.00601558952118,1273.08819502365,685.031565090993,TRUE,493.461,6,350,250
"nonspatial",1,10000,1.00234231669987,2401.36805219042,2326.63419355878,TRUE,6.13999999999987,6,350,250
"spatial",1,10000,1.01266909350849,434.932106809502,229.224451733263,FALSE,275.195,7,350,250
"spatial",2,20000,1.00659066720991,913.289038434915,693.778540627034,TRUE,493.544,7,350,250
"nonspatial",1,10000,1.00180683060049,2753.52275737839,2553.61428739416,TRUE,6.19800000000009,7,350,250
"spatial",1,10000,1.00949296959362,765.866590997842,455.896180608139,TRUE,274.667,8,350,250
"nonspatial",1,10000,1.00253029286911,2489.20029864685,2015.86828401063,TRUE,6.15900000000011,8,350,250
"spatial",1,10000,1.0157815171414,458.154817245409,531.155349234241,FALSE,274.93,9,350,250
"spatial",2,20000,1.00772526970432,886.121521396172,755.55654021397,TRUE,493.514,9,350,250
"nonspatial",1,10000,1.0019729779028,2788.15055358885,2654.3848444723,TRUE,6.37100000000009,9,350,250
"spatial",1,10000,1.00798710466925,517.056462769451,565.913805999251,TRUE,273.154,10,350,250
"nonspatial",1,10000,1.00322942739052,2900.23319017511,2774.62198739226,TRUE,6.15800000000013,10,350,250
"spatial",1,10000,1.00713479552625,845.540173349912,746.800294976809,TRUE,273.298,1,750,250
"nonspatial",1,10000,1.00299946348125,2711.52056477569,2508.70951793602,TRUE,6.3900000000001,1,750,250
"spatial",1,10000,1.00526565328457,856.764162944866,559.654795719984,TRUE,273.697,2,750,250
"nonspatial",1,10000,1.00254472974965,2756.0508228198,2518.9499918094,TRUE,6.12899999999991,2,750,250
"spatial",1,10000,1.01059118573779,387.401510547986,351.542342411957,FALSE,272.292,3,750,250
"spatial",2,20000,1.0085731440504,860.491895612803,622.523365862123,TRUE,491.156,3,750,250
"nonspatial",1,10000,1.00206934370002,2512.05753879711,2341.81604588801,TRUE,6.17599999999993,3,750,250
"spatial",1,10000,1.00754518058638,892.571218054976,766.136940865307,TRUE,272.799,4,750,250
"nonspatial",1,10000,1.00227595836177,2609.64484411274,2571.03239143726,TRUE,6.65900000000011,4,750,250
"spatial",1,10000,1.00795447907479,697.313068669409,473.310909024602,TRUE,272.561,5,750,250
"nonspatial",1,10000,1.00192998105084,2763.67014770842,2542.78715521565,TRUE,6.43900000000008,5,750,250
"spatial",1,10000,1.00973224948186,570.802068316614,372.908903097624,FALSE,272.55,6,750,250
"spatial",2,20000,1.00435895694349,1381.19736477642,733.355203807047,TRUE,491.064,6,750,250
"nonspatial",1,10000,1.00260641996612,2691.77315226721,2643.26689119168,TRUE,6.38600000000042,6,750,250
"spatial",1,10000,1.00920388229775,517.436037080388,620.337114051447,TRUE,272.468,7,750,250
"nonspatial",1,10000,1.00287760388441,2657.83189390703,2620.96643910218,TRUE,6.13799999999992,7,750,250
"spatial",1,10000,1.01002625874941,884.428063698731,880.166843674873,FALSE,272.549,8,750,250
"spatial",2,20000,1.00328815364052,2039.82136284977,1617.65144937099,TRUE,491.097,8,750,250
"nonspatial",1,10000,1.00250940851586,2686.61136273536,2345.77038728422,TRUE,6.1880000000001,8,750,250
"spatial",1,10000,1.00985857041237,777.567854297133,587.745396907844,TRUE,272.282,9,750,250
"nonspatial",1,10000,1.00282352664219,2794.53883718759,2809.57755706469,TRUE,6.20100000000002,9,750,250
"spatial",1,10000,1.01170848865965,749.007444019867,470.781808978478,FALSE,272.688,10,750,250
"spatial",2,20000,1.00434178949788,1721.59873959626,1067.40538894251,TRUE,490.627,10,750,250
"nonspatial",1,10000,1.00150692000245,2670.5085024886,2823.1868882481,TRUE,6.08099999999968,10,750,250
"spatial",1,10000,1.00546797201937,916.111287869298,900.001308681516,TRUE,272.401,1,1000,250
"nonspatial",1,10000,1.00355064726497,2824.83307928045,2636.96418519239,TRUE,6.20499999999993,1,1000,250
"spatial",1,10000,1.00704830829072,920.238812104092,589.177582981126,TRUE,272.21,2,1000,250
"nonspatial",1,10000,1.00290665613674,2318.43973601852,2542.43987076845,TRUE,6.32600000000002,2,1000,250
"spatial",1,10000,1.01228514727418,521.686879696497,418.503597417192,FALSE,272.315,3,1000,250
"spatial",2,20000,1.00436676841421,989.762195122374,1218.44789923664,TRUE,490.097,3,1000,250
"nonspatial",1,10000,1.00204988904567,2630.06707100135,2505.12899328225,TRUE,6.38699999999972,3,1000,250
"spatial",1,10000,1.00840435939793,898.309089763878,975.686161916077,TRUE,273.244,4,1000,250
"nonspatial",1,10000,1.00174431792673,2695.33709917884,2388.9210857711,TRUE,6.45499999999993,4,1000,250
"spatial",1,10000,1.00786468174756,949.930000760734,506.74529380391,TRUE,273.656,5,1000,250
"nonspatial",1,10000,1.00348787465895,2604.55293850328,2476.70819318258,TRUE,6.20199999999977,5,1000,250
"spatial",1,10000,1.00756174488702,866.960509628798,527.393488232898,TRUE,273.467,6,1000,250
"nonspatial",1,10000,1.00394862133035,2854.45656746592,2396.18902137832,TRUE,6.73700000000008,6,1000,250
"spatial",1,10000,1.01558579707897,398.387304476156,329.352854122883,FALSE,273.22,7,1000,250
"spatial",2,20000,1.00743839716369,1041.87404942533,1090.13597033044,TRUE,487.973,7,1000,250
